author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Unique;real_estate_agent;https://www.cian.ru/sale/flat/287678758/;Москва;4;26;1;46,0;34000000;2021;-1,0;-1,0;Очаково-Матвеевское;Нежинская ;Давыдково;Городские резиденции SPIRES
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Москва;3;17;1;35,4;14990000;2022;24 ;9 ;; Эдварда Грига;Потапово;
TOUCH;developer;https://www.cian.ru/sale/flat/302838421/;Москва;7;13;1;45,3;27171760;2024;-1,0;-1,0;Южнопортовый;;Дубровка;Шаайн ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308605254/;Москва;13;41;1;43,0;23900000;-1;21 ;17 ;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Оксана Гишян;realtor;https://www.cian.ru/sale/flat/307280914/;Москва;2;12;1;38,7;15000000;1985;20,7 ;8,3 ;Ранки; Улофа Паль;Минская;
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;2;14;1;72,6;139410000;2024;14,2 ;31 ;Якинка;;Полянка;Лаврушинский ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Москва;18;22;1;43,0;19200000;2022;22 ;12 ;Щукино;Большой Волоколакий проезд;Стрешнево;Колекс апартантов B’aires
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Москва;18;22;1;43,0;19500000;2022;24 ;14 ;Щукино;Большой Волоколакий проезд;Стрешнево;Колекс апартантов B’aires
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/300522888/;Москва;4;5;1;144,0;3450000;1930;10 ;4 ;Перово; 2-я Энтузиастов;Авиаторная;
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/307987228/;Москва;1;9;1;37,7;7700000;1966;19 ;6 ;Гольяново;Щелковское шоссе;Черкизовская;
Галс-Девелопнт;developer;https://www.cian.ru/sale/flat/308081007/;Москва;4;6;1;50,2;57228000;2024;12,3 ;23,9 ;Заскворечье;Косдаанская набережная;Новокузнецкая;Клубный доКос 4/22
Диана Тухбатуллина;realtor;https://www.cian.ru/sale/flat/307891819/;Москва;3;5;1;30,0;8390000;2021;-1,0;8 ;; Жеужная;Филатов Луг;
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/308238615/;Москва;11;12;1;34,8;9350000;1966;19,9 ;9,7 ;Северное Изйлово;Щелковское шоссе;Щёлковская;
ID 497357;realtor;https://www.cian.ru/sale/flat/307664639/;Москва;2;9;1;318,0;11990000;1962;21,5 ;5,2 ;Кунцево;Ельнинская ;Молодёжная;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308805101/;Москва;4;6;1;35,1;23000000;1902;-1,0;-1,0;Баснный; Покровка;Курская;
ID 96130885;homeowner;https://www.cian.ru/sale/flat/309045792/;Москва;15;17;1;37,8;9000000;2015;19 ;7,2 ;; Бианки;Рассказовка;
Салет плюс Троицк;real_estate_agent;https://www.cian.ru/sale/flat/307340005/;Москва;16;17;1;305,0;6100000;2022;12,3 ;7 ;; Яворки;Ватутинки;
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Москва;22;32;1;37,4;17780000;2023;-1,0;10 ;Нижегородский;Газгольдерная ;Нижегородская;Profit
Мария Рыськина;realtor;https://www.cian.ru/sale/flat/308543607/;Москва;5;12;1;33,5;14500000;1964;17 ;4 ;Беговой;Ленинградский проспект;Дина;
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Москва;8;22;1;40,0;13290000;2000;-1,0;10 ;Марьино; Верхние Поля;Люблино;
ID 3192;realtor;https://www.cian.ru/sale/flat/308019474/;Москва;14;25;1;39,0;19480000;-1;13 ;15 ;Щукино; Ротстрова;Октябрьское поле;
МГСН-Проспект Мира;real_estate_agent;https://www.cian.ru/sale/flat/308907514/;Москва;10;19;1;60,0;27500000;-1;25 ;18 ;Хорошево-Мневники;проспект Маршала Жукова;Народное Ополчение;
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299341036/;Москва;10;34;1;64,4;51000000;2023;41,7 ;10 ;Дороголово;Поклонная ;Поклонная;Поклонная 9
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306945307/;Москва;21;24;1;40,8;30000000;2022;25,8 ;10 ;Хорошевский;Хорошевское шоссе;Полежаевская;Династия
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308063057/;Москва;24;49;1;43,9;27800000;2021;17,2 ;18 ;Ранки; Лобачевского;Аньевская;Событие
Sminex;developer;https://www.cian.ru/sale/flat/308620473/;Москва;23;26;1;35,7;21910000;2024;11 ;15,8 ;Марфино; Акадека Королева;Бутырская;ДоДостижение
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308829538/;Москва;33;41;1;46,0;21000000;2024;18 ;23 ;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307098964/;Москва;7;48;1;55,5;33000000;2024;27 ;7,7 ;Ростокино; Вильгель Пика;Ботанический сад;Режиссёр
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва;5;10;1;40,4;28900000;-1;21,5 ;8,2 ;Дороголово;Кутузовский проспект;Кутузовская;
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308118586/;Москва;31;36;1;49,3;24990000;2019;25,3 ;19 ;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
OXE CAPITAL - Элитная Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/294476646/;Москва;3;5;1;31,0;18500000;1958;-1,0;-1,0;Пресненский; Юлиуса Фучика;Маяковская;
OXE CAPITAL - Элитная Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/308760982/;Москва;5;24;1;39,1;19800000;2005;-1,0;12 ;Фили-Давыдково; Гераси Курина;Славянский бульвар;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304453140/;Москва;49;66;1;44,6;44154000;2020;-1,0;-1,0;Пресненский;1-й Красногвардейский проезд;Москва-Сити;NEVA TOWERS
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Москва;3;17;1;38,0;13900000;2006;19 ;7,3 ;Свиблово;Вересковая ;Свиблово;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303016403/;Москва;12;28;1;45,2;20500000;2024;13,7 ;16 ;Даниловский;Автозаводская ;ЗИЛ;Shagal
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/283946953/;Москва;4;6;1;31,4;28500000;2023;15 ;6,3 ;Хавники;Зубовская ;Парк Культуры;Roza Rossa
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308762650/;Москва;18;35;1;48,5;21700000;2022;25,5 ;18 ;Ранки; Лобачевского;Аньевская;Крылья
Sense Development;developer;https://www.cian.ru/sale/flat/298147602/;Москва;7;13;1;58,8;37642247;2024;45,1 ;8,7 ;Даниловский; Даниловский Вал;Тульская;Logos
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/299499349/;Москва;5;21;1;48,4;21250000;2024;15,8 ;15,5 ;Щукино;Щукинская ;Щукинская;Интонация
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/306516350/;Москва;21;22;1;39,0;11300000;1985;19,1 ;10 ;Братеево;Ал-Атинская ;Ал-Атинская;
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307655528/;Москва;3;14;1;43,5;12000000;1989;20 ;9 ;Марьино; Перерва;Марьино;
Место;real_estate_agent;https://www.cian.ru/sale/flat/308391305/;Москва;2;9;1;32,9;8900000;1971;21 ;6 ;Богородское;Краснобогатырская ;Преображенская площадь;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;4;13;1;43,6;37500000;-1;14 ;16,8 ;Пресненский; Сергея Макеева;Улица 1905 года;RedSide
Косполис;real_estate_agent;https://www.cian.ru/sale/flat/306709200/;Москва;15;15;1;40,6;11890000;2018;20 ;10 ;;бульвар Веласкеса;Прокшино;
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/280751407/;Москва;4;7;1;33,6;5600000;2024;12,5 ;10,5 ;; Луговая;Рассказовка;Эдельвейс
Андрей Кряжев;realtor;https://www.cian.ru/sale/flat/307062442/;Москва;2;9;1;32,2;8100000;1970;20 ;6 ;Чертаново Центральное;Днепропетровская ;Южная;
Салет;developer;https://www.cian.ru/sale/flat/308914987/;Москва;11;16;1;42,2;8110408;2024;13,9 ;13,1 ;;;Филатов Луг;Цветочные Поляны
Салет;developer;https://www.cian.ru/sale/flat/308655501/;Москва;16;16;1;38,2;8254881;2024;10,4 ;11,3 ;;;Филатов Луг;Цветочные Поляны
Салет;developer;https://www.cian.ru/sale/flat/308655358/;Москва;2;16;1;38,6;8275112;2024;10,5 ;11,3 ;;;Филатов Луг;Цветочные Поляны
Салет;developer;https://www.cian.ru/sale/flat/308966884/;Москва;3;15;1;38,8;8298207;2024;10,5 ;19,2 ;;;Щербинка;Алхиво ЖК
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/296956787/;Москва;2;2;1;151,0;8300000;1900;8,1 ;2 ;Баснный;Гороховский переулок;Курская;
Upside Development;developer;https://www.cian.ru/sale/flat/297367278/;Москва;1;8;1;34,2;8379000;2024;10,7 ;15,7 ;Бибирево; Корнейчука;Алтуфьево;Clementine
ПИК;developer;https://www.cian.ru/sale/flat/306987423/;Москва;17;17;1;36,0;8522618;2024;17,3 ;10,5 ;;;Щербинка;Юнино ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306987593/;Москва;11;17;1;36,0;8631143;2024;10,6 ;18,1 ;;;Щербинка;Юнино ЖК
Салет;developer;https://www.cian.ru/sale/flat/308966838/;Москва;3;10;1;41,3;8645092;2024;10,6 ;20,9 ;;;Щербинка;Алхиво ЖК
А101;developer;https://www.cian.ru/sale/flat/306747832/;Москва;7;9;1;34,7;8738248;2024;12,3 ;12 ;;;Бунинская аллея;Бунинские Кварталы ЖК
ID 59271570;homeowner;https://www.cian.ru/sale/flat/305061053/;Москва;8;9;1;56,0;9200000;2018;20,1 ;23 ;; Сена Гордого;Крёкшино;
Салет;developer;https://www.cian.ru/sale/flat/308650651/;Москва;3;7;1;32,9;9245023;2024;9,4 ;15,9 ;;;Рассказовка;Квартал Западный ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306670736/;Москва;14;14;1;41,0;9258414;2024;10,5 ;22,5 ;; Усадебный Парк;Филатов Луг;Середневский лес
Салет;developer;https://www.cian.ru/sale/flat/308650649/;Москва;3;6;1;31,9;9440052;2024;9,4 ;14,4 ;;;Рассказовка;Квартал Западный ЖК
ID 3105;realtor;https://www.cian.ru/sale/flat/307022812/;Москва;8;27;1;33,0;9500000;2012;16 ;10 ;;;Потапово;
Салет;developer;https://www.cian.ru/sale/flat/308652212/;Москва;14;15;1;46,9;9726270;2024;14,4 ;19,9 ;;;Щербинка;Алхиво ЖК
ID 112641845;unknown;https://www.cian.ru/sale/flat/302452202/;Москва;9;10;1;38,3;9700000;2007;17,9 ;8,7 ;Южное Бутово;Остафьевская ;Бунинская аллея;
Абсолют Недвижисть;developer;https://www.cian.ru/sale/flat/307207384/;Москва;14;20;1;306,0;9662241;2024;9,5 ;-1,0;;;Новопеределкино;Город-парк Первый Московский
ID 116492;realtor;https://www.cian.ru/sale/flat/289461345/;Москва;16;16;1;38,5;9800000;1978;19,7 ;9,6 ;Теплый Стан; Генерала Тюленева;Генерала Тюленева;
ОкругА;real_estate_agent;https://www.cian.ru/sale/flat/306425306/;Москва;12;12;1;38,9;9890000;1981;20,9 ;8,6 ;Бибирево; Плещеева;Бибирево;
Салет;developer;https://www.cian.ru/sale/flat/308652180/;Москва;5;15;1;35,6;9897247;2024;10,2 ;17,2 ;;;Щербинка;Алхиво ЖК
Сергей Иванов;realtor;https://www.cian.ru/sale/flat/307336844/;Москва;9;14;1;41,5;9850000;1973;20 ;10 ;Печатники;Шоссейная ;Люблино;
Салет;developer;https://www.cian.ru/sale/flat/308650666/;Москва;5;5;1;35,8;9899895;2024;10,8 ;9,8 ;;;Рассказовка;Квартал Западный ЖК
Салет;developer;https://www.cian.ru/sale/flat/308650663/;Москва;7;7;1;38,9;10080668;2024;10,5 ;19,3 ;;;Рассказовка;Квартал Западный ЖК
Салет;developer;https://www.cian.ru/sale/flat/308650664/;Москва;2;7;1;48,4;10058220;2024;19,5 ;19,6 ;;;Рассказовка;Квартал Западный ЖК
Салет;developer;https://www.cian.ru/sale/flat/308650621/;Москва;2;5;1;43,9;10141321;2024;14,4 ;18,5 ;;;Рассказовка;Квартал Западный ЖК
;;https://www.cian.ru/sale/flat/299212948/;Москва;16;18;1;315,0;10174500;2023;-1,0;-1,0;Останкинский;Березовая аллея;Ботанический сад;Апарт-колекс Легендарный квартал
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297843444/;Москва;14;14;1;37,3;10197820;2024;11,4 ;13,9 ;; 3-я Нововатутинская;Кедровая;Новые Ватутинки, р. Центральный
ID 47566415;homeowner;https://www.cian.ru/sale/flat/308807670/;Москва;5;9;1;33,0;10400000;1964;21,3 ;6 ;Кузьнки;Зеленодольская ;Кузьнки;
;;https://www.cian.ru/sale/flat/294443416/;Москва;25;25;1;41,3;10896151;2022;-1,0;-1,0;Некрасовка; Липчанского;Некрасовка;Некрасовка
KINS Group;real_estate_agent;https://www.cian.ru/sale/flat/294990201/;Москва;12;17;1;38,8;11100000;1987;20 ;8,5 ;Новокосино;Городецкая ;Новокосино;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;11;12;1;33,5;8000000;1972;17 ;7 ;Чертаново Южное;3-й Дорожный проезд;Улица Акадека Янгеля;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/309028428/;Москва;9;14;1;38,5;7000000;1993;18 ;8 ;Крюково;Зеленоград;Зеленоград — Крюково;
ФЛИП;real_estate_agent;https://www.cian.ru/sale/flat/308499820/;Москва;1;5;1;313,0;8400000;1966;17 ;6,6 ;Перово;Новогиреевская ;Перово;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/305267257/;Москва;5;5;1;257,0;7515745;-1;-1,0;6 ;Соколиная гора;Медовый переулок;Электрозаводская;
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/308972765/;Москва;6;9;1;33,0;9750000;-1;19 ;7 ;Ясенево;Голубинская ;Тёплый Стан;
